FAULT_ID	CITATION
0	Bird, 2003
0	Kanaev et al., 1977
0	Lukina, data 1996
0	Map of Middle East, 1992
1	Bird, 2003
1	Lukina, data 1996
1	Map of Middle East, 1992
2	Bird, 2003
2	Lukina, data 1996
2	Map of Middle East, 1992
3	Bird, 2003
3	Lukina, data 1996
3	Map of Middle East, 1992
4	Bird, 2003
4	Lukina, data 1996
4	Map of Middle East, 1992
5	Bird, 2003
5	Lukina, data 1996
5	Map of Middle East, 1992
6	Bird, 2003
6	Kanaev et al., 1976
6	Kanaev et al., 1977
6	Lukina, data 1996
6	Map of Middle East, 1992
6	McKenzie et al., 1971
7	Bird, 2003
7	Lukina, data 1996
7	Map of Middle East, 1992
8	Bird, 2003
8	Lukina, data 1996
8	Map of Middle East, 1992
9	Bird, 2003
9	Lukina, data 1996
9	Map of Middle East, 1992
10	Bird, 2003
10	Kanaev et al., 1976
10	Lukina, data 1996
10	Map of Middle East, 1992
10	McKenzie et al., 1971
11	Bird, 2003
11	Lukina, data 1996
11	Map of Middle East, 1992
12	Bird, 2003
12	Kanaev et al., 1976
12	Lukina, data 1996
12	Map of Middle East, 1992
12	McKenzie et al., 1971
13	Lukina, data 1996
13	Map of Middle East, 1992
14	Bird, 2003
14	Lukina, data 1996
14	Map of Middle East, 1992
15	Kanaev et al., 1976
15	Lukina, data 1996
15	Map of Middle East, 1992
15	McKenzie et al., 1971
16	Bird, 2003
16	Lukina, data 1996
16	Map of Middle East, 1992
17	Lukina, data 1996
17	Map of Middle East, 1992
18	Bird, 2003
18	Lukina, data 1996
18	Map of Middle East, 1992
19	Lukina, data 1996
19	Map of Middle East, 1992
20	Bird, 2003
20	Lukina, data 1996
20	Map of Middle East, 1992
21	Bird, 2003
22	Bird, 2003
22	Kanaev et al., 1976
22	Lukina, data 1996
22	Map of Middle East, 1992
22	McKenzie et al., 1971
23	Bird, 2003
23	Lukina, data 1996
23	Map of Middle East, 1992
24	Working material, data 2016
25	Bird, 2003
25	Kanaev et al., 1976
25	Kanaev et al., 1977
25	Lukina, data 1996
25	Map of Middle East, 1992
25	McKenzie et al., 1971
26	Bird, 2003
26	Kanaev et al., 1977
26	Lukina, data 1996
26	Map of Middle East, 1992
27	Bird, 2003
27	Kanaev et al., 1976
27	Kanaev et al., 1977
27	Lukina, data 1996
27	Map of Middle East, 1992
27	McKenzie et al., 1971
28	Gouin, 1979
28	Lisitsyn et al.,1987
29	Gouin, 1979
29	Lisitsyn et al.,1987
30	Bird, 2003
30	Gouin, 1979
30	Lisitsyn et al.,1987
31	Gouin, 1979
31	Lisitsyn et al.,1987
32	Gouin, 1979
32	Lisitsyn et al.,1987
33	Bird, 2003
33	Gouin, 1979
33	Lisitsyn et al.,1987
34	Gouin, 1979
34	Lisitsyn et al.,1987
35	Gouin, 1979
35	Lisitsyn et al.,1987
36	Bird, 2003
36	Gouin, 1979
36	Lisitsyn et al.,1987
37	Gouin, 1979
37	Lisitsyn et al.,1987
38	Gouin, 1979
38	Lisitsyn et al.,1987
39	Gouin, 1979
39	Lisitsyn et al.,1987
40	Gouin, 1979
40	Lisitsyn et al.,1987
41	Bird, 2003
41	Gouin, 1979
41	Lisitsyn et al.,1987
42	Gouin, 1979
42	Lisitsyn et al.,1987
43	Gouin, 1979
43	Lisitsyn et al.,1987
44	Bird, 2003
44	Gouin, 1979
44	Lisitsyn et al.,1987
45	Gouin, 1979
45	Lisitsyn et al.,1987
46	Gouin, 1979
46	Lisitsyn et al.,1987
47	Bird, 2003
47	Gouin, 1979
47	Lisitsyn et al.,1987
48	Gouin, 1979
48	Lisitsyn et al.,1987
49	Working material, data 2016
50	Bird, 2003
50	Gouin, 1979
50	Lisitsyn et al.,1987
51	Gouin, 1979
51	Lisitsyn et al.,1987
52	Lukina, data 1996
52	Map of Middle East, 1992
53	Lukina, data 1996
53	Map of Middle East, 1992
54	Kanaev et al., 1976
54	Kanaev et al., 1977
54	Lukina, data 1996
54	Map of Asia, 1975
54	Map of Asia, 1982
55	Ben-Avraham et al., 1993
55	McKenzie, 1978
56	Pavlides et al., 1991
57	Pavlides et al., 1991
58	Papazachos et al., 1971
59	Jackson et al., 1988a
59	Jackson et al., 1988b
59	Kovachov et al., 1991
59	Papadopoulos, 1989
59	Papazachos et al., 1971
59	Pavlides et al., 1991
60	Papazachos et al., 1971
61	Jackson et al., 1988a
61	Jackson et al., 1988b
61	Kovachov et al., 1991
61	Papadopoulos, 1989
61	Papazachos et al., 1971
61	Pavlides et al., 1991
62	Trifonov, data 1996
63	Bird, 2003
63	Le Pichon et al., 1979
63	Papadopoulos, 1989
63	Pavlides et al., 1991
64	Basili et al., 2013
64	Bird, 2003
64	Caputo et al., 2013
64	Ganas et al., 2021
64	Le Pichon et al., 1979
64	Pavlides et al., 1991
65	Caputo et al., 2013
65	Ganas et al., 2021
65	Le Pichon et al., 1979
65	Pavlides et al., 1991
66	Pavlides et al., 1991
67	Trifonov, data 1996
68	Basili et al., 2013
68	Emre et al., 2013
68	Molnar et al., 2010
68	Trifonov, data 1996
69	Trifonov, data 1996
70	Emre et al., 2013
70	Molnar et al., 2010
70	Trifonov, data 1996
71	Basili et al., 2013
71	Bird, 2003
71	Trifonov, data 1996
72	Bird, 2003
72	Trifonov, data 1996
73	Bird, 2003
73	Trifonov, data 1996
74	Emre et al., 2013
74	Pavlides et al., 1991
74	Saroglu et al., 1992
75	Basili et al., 2013
76	Basili et al., 2013
76	Caputo et al., 2013
76	Pavlides et al., 1991
77	Pavlides et al., 1991
78	Skobelev, data 1996
78	Wellman, 1966
79	Holcombe, 1978
79	Ruleman et al., 2007
79	Skobelev, data 1996
80	Ruleman et al., 2007
80	Skobelev, data 1996
80	Styron et al., 2010
81	Skobelev, data 1996
82	Ruleman et al., 2007
82	Skobelev, data 1996
83	Molnar et al., 1975
83	Ruleman et al., 2007
83	Tapponnier et al., 1981
83	Taylor et al., 2009
84	Skobelev, data 1996
85	Skobelev, data 1996
86	Ruleman et al., 2007
86	Skobelev, data 1996
87	Skobelev, data 1996
88	Ruleman et al., 2007
88	Skobelev, data 1996
89	Skobelev, data 1996
90	Skobelev, data 1996
91	Skobelev, data 1996
92	Skobelev, data 1996
93	Skobelev, data 1996
94	Skobelev, data 1996
95	Skobelev, data 1996
96	Skobelev, data 1996
97	Ruleman et al., 2007
97	Skobelev, data 1996
98	Skobelev, data 1996
99	Skobelev, data 1996
100	Skobelev, data 1996
101	Skobelev, data 1996
102	Skobelev, data 1996
103	Skobelev, data 1996
104	Skobelev, data 1996
105	Skobelev, data 1996
106	Skobelev, data 1996
107	Holcombe, 1978
107	Skobelev, data 1996
108	Skobelev, data 1996
109	Skobelev, data 1996
110	Skobelev, data 1996
111	Ruleman et al., 2007
111	Skobelev, data 1996
112	Ruleman et al., 2007
112	Skobelev, data 1996
113	Ruleman et al., 2007
113	Skobelev, data 1996
114	Skobelev, data 1996
115	Skobelev, data 1996
116	Skobelev, data 1996
117	Skobelev, data 1996
118	Skobelev, data 1996
119	Skobelev, data 1996
120	Ruleman et al., 2007
120	Skobelev, data 1996
121	Skobelev, data 1996
122	Skobelev, data 1996
123	Skobelev, data 1996
124	Ruleman et al., 2007
124	Skobelev, data 1996
125	Skobelev, data 1996
126	Skobelev, data 1996
127	Ruleman et al., 2007
127	Skobelev, data 1996
128	Skobelev, data 1996
129	Skobelev, data 1996
130	Skobelev, data 1996
131	Skobelev, data 1996
132	Skobelev, data 1996
133	Skobelev, data 1996
134	Working material, data 2014
135	Ruleman et al., 2007
135	Skobelev, data 1996
136	Ruleman et al., 2007
136	Skobelev, data 1996
137	Skobelev, data 1996
138	Skobelev, data 1996
139	Skobelev, data 1996
140	Skobelev, data 1996
141	Skobelev, data 1996
142	Skobelev, data 1996
143	Skobelev, data 1996
144	Skobelev, data 1996
145	Ruleman et al., 2007
145	Skobelev, data 1996
146	Molnar et al., 2010
146	Nakata et al., 1991
146	Ruleman et al., 2007
146	Skobelev, data 1996
146	Tapponnier et al., 1979
146	Tapponnier et al., 1981
146	Wellman, 1966
147	Skobelev, data 1996
148	Ruleman et al., 2007
148	Skobelev, data 1996
148	Taylor et al., 2009
149	Skobelev, data 1996
150	Skobelev, data 1996
151	Skobelev, data 1996
152	Skobelev, data 1996
153	Skobelev, data 1996
154	Skobelev, data 1996
155	Skobelev, data 1996
156	Skobelev, data 1996
157	Ruleman et al., 2007
157	Skobelev, data 1996
158	Ruleman et al., 2007
158	Skobelev, data 1996
159	Ruleman et al., 2007
159	Skobelev, data 1996
160	Skobelev, data 1996
161	Skobelev, data 1996
162	Skobelev, data 1996
163	Skobelev, data 1996
164	Skobelev, data 1996
165	Skobelev, data 1996
166	Skobelev, data 1996
167	Skobelev, data 1996
168	Skobelev, data 1996
169	Skobelev, data 1996
170	Skobelev, data 1996
171	Skobelev, data 1996
172	Skobelev, data 1996
173	Nakata et al., 1991
173	Skobelev, data 1996
173	Tapponnier et al., 1979
174	Nakata et al., 1991
174	Skobelev, data 1996
174	Tapponnier et al., 1979
175	Working material, data 2014
176	Nakata et al., 1991
176	Skobelev, data 1996
176	Tapponnier et al., 1979
177	Nakata et al., 1991
177	Skobelev, data 1996
177	Tapponnier et al., 1979
178	Nakata et al., 1991
178	Ruleman et al., 2007
178	Skobelev, data 1996
178	Tapponnier et al., 1979
179	Nakata et al., 1991
179	Skobelev, data 1996
179	Tapponnier et al., 1979
180	Nakata et al., 1991
180	Skobelev, data 1996
180	Tapponnier et al., 1979
181	Nakata et al., 1991
181	Skobelev, data 1996
181	Tapponnier et al., 1979
182	Nakata et al., 1991
182	Skobelev, data 1996
182	Tapponnier et al., 1979
183	Nakata et al., 1991
183	Ruleman et al., 2007
183	Skobelev, data 1996
183	Tapponnier et al., 1979
184	Molnar et al., 2010
184	Nakata et al., 1991
184	Skobelev, data 1996
184	Tapponnier et al., 1979
185	Nakata et al., 1991
185	Ruleman et al., 2007
185	Skobelev, data 1996
185	Tapponnier et al., 1979
186	Nakata et al., 1991
186	Ruleman et al., 2007
186	Skobelev, data 1996
186	Tapponnier et al., 1979
187	Kirova, 1956
187	Lukina, 1988
187	Lukina, data 1996
187	Map of Siberia, 2015
187	Zhalkovski et al., 1978
188	Lukina, 1992
189	Lukina, 1992
190	Lukina, 1992
190	Map of Siberia, 2015
191	Lukina, 1992
192	Bogachkin, 1981
192	Lukina, 1988
192	Lukina, data 1996
192	Map of Altai-Sayan, 1969
193	Bogachkin, 1981
193	Lukina, 1988
193	Lukina, data 1996
194	Lukina, 1988
195	Lukina, 1988
195	Lukina, data 1996
195	Map of USSR, 1978
195	Ziatkova, 1977
196	Lukina, 1988
197	Bogachkin, 1981
197	Lukina, 1988
197	Lukina, data 1996
197	Map of Altai-Sayan, 1969
198	Bogachkin, 1981
198	Kondorskaya et al., 1977
198	Lukina, 1988
198	Lukina, data 1996
198	Map of USSR, 1986
199	Bogachkin, 1981
199	Bondarenko, 1976
199	Lukina, data 1996
200	Bogachkin, 1981
200	Bondarenko, 1976
200	Lukina, data 1996
201	Bogachkin, 1981
201	Bondarenko, 1976
201	Lukina, data 1996
202	Lukina, 1988
203	Bogachkin, 1981
203	Dergunov, 1972
203	Lukina, 1988
203	Lukina, 1992
203	Lukina, data 1996
203	Map of USSR, 1986
204	Bogachkin, 1981
204	Dergunov, 1972
204	Lukina, 1988
204	Lukina, 1992
204	Lukina, data 1996
204	Map of USSR, 1986
205	Bogachkin, 1981
205	Dergunov, 1972
205	Lukina, 1988
205	Lukina, 1992
205	Lukina, data 1996
205	Map of USSR, 1986
206	Bogachkin, 1981
206	Dergunov, 1972
206	Lukina, 1988
206	Lukina, 1992
206	Lukina, data 1996
206	Map of USSR, 1986
207	Bogachkin, 1981
207	Dergunov, 1972
207	Lukina, 1988
207	Lukina, 1992
207	Lukina, data 1996
207	Map of USSR, 1986
208	Bogachkin, 1981
208	Dergunov, 1972
208	Lukina, 1988
208	Lukina, 1992
208	Lukina, data 1996
208	Map of USSR, 1986
209	Bogachkin, 1981
209	Dergunov, 1972
209	Lukina, 1988
209	Lukina, 1992
209	Lukina, data 1996
209	Map of USSR, 1986
210	Bogachkin, 1981
210	Dergunov, 1972
210	Lukina, 1988
210	Lukina, 1992
210	Lukina, data 1996
210	Map of USSR, 1986
211	Grosvald, 1965
211	Lukina, 1988
211	Lukina, data 1996
212	Lukina, data 1996
212	Ziatkova, 1973
212	Ziatkova, 1977
213	Lukina, 1988
213	Lukina, data 1996
213	Map of Siberia, 2015
213	Ziatkova, 1973
213	Ziatkova, 1977
214	Lukina, data 1996
214	Map of Altai-Sayan, 1969
214	Map of USSR, 1986
214	Ziatkova, 1973
214	Ziatkova, 1977
215	Chernov, 1978
215	Lukina, data 1996
215	Map of Altai-Sayan, 1969
215	Map of USSR, 1986
215	Ziatkova, 1973
215	Ziatkova, 1977
216	Lukina, data 1996
216	Map of Altai-Sayan, 1969
216	Map of USSR, 1986
216	Ziatkova, 1973
216	Ziatkova, 1977
217	Chernov et al., 1978
217	Chernov, 1975
217	Chernov, 1978
217	Lukina, data 1996
217	Map of Siberia, 2015
217	Zelenkov, 1978
217	Ziatkova, 1973
217	Ziatkova, 1977
218	Lukina, data 1996
218	Ziatkova, 1973
218	Ziatkova, 1977
219	Chernov, 1978
219	Lukina, data 1996
219	Map of Siberia, 2015
219	Zelenkov, 1978
219	Ziatkova, 1973
219	Ziatkova, 1977
220	Lukina, data 1996
220	Ziatkova, 1973
220	Ziatkova, 1977
221	Lukina, data 1996
221	Ziatkova, 1973
221	Ziatkova, 1977
222	Lukina, data 1996
222	Ziatkova, 1973
222	Ziatkova, 1977
223	Chernov et al., 1978
223	Grosvald, 1965
223	Lukina, data 1996
223	Ziatkova, 1973
224	Lukina, data 1996
224	Ziatkova, 1973
225	Lukina, 1988
225	Lukina, data 1996
225	Map of USSR, 1986
225	Zhalkovski et al., 1978
225	Ziatkova, 1977
226	Lukina, 1988
226	Lukina, data 1996
226	Map of USSR, 1986
226	Ziatkova, 1977
227	Grosvald, 1965
227	Lukina, data 1996
227	Map of Siberia, 2015
227	Ziatkova, 1977
228	Deviatkin, 1965
228	Lukina, 1988
228	Lukina, data 1996
229	Demin, 1976
229	Lukina, data 1996
229	Map of Altai-Sayan, 1969
230	Lukina, data 1996
231	Grosvald, 1965
231	Levi, data 1996
231	Map of Baikal, 1982
231	Map of Baikal, 1983
231	Map of Siberia, 2015
231	Map of USSR, 1986
231	Nikolaev et al., 1974
231	Nikolaev et al., 1978
231	Sherman, data 1996
232	Lukina, 1988
232	Lukina, 1990a
233	Demyanovich et al., 2008
233	Lukina, 1988
234	Levi, data 1996
234	Lunina et al., 2010
234	Map of Baikal, 1982
234	Nikolaev et al., 1978
234	Sherman, data 1996
235	Lukina, 1988
235	Lukina, data 1996
235	Lunina et al., 2010
235	Map of Siberia, 2015
235	Map of USSR, 1986
236	Lukina, 1988
236	Lukina, data 1996
236	Lunina et al., 2010
236	Map of Siberia, 2015
236	Map of USSR, 1986
237	Lukina, 1988
237	Lukina, data 1996
237	Lunina et al., 2010
237	Map of USSR, 1986
238	Levi, data 1996
239	Lukina, 1988
239	Lukina, data 1996
239	Lunina et al., 2010
239	Map of Siberia, 2015
239	Map of USSR, 1986
240	Lukina, 1988
240	Lukina, data 1996
240	Lunina et al., 2010
240	Map of Siberia, 2015
240	Map of USSR, 1986
241	Lukina, 1988
241	Lukina, data 1996
241	Map of USSR, 1986
242	Levi, data 1996
243	Lukina, 1988
243	Lukina, 1990a
244	Lukina, 1988
245	Lukina, 1988
246	Lukina, data 1992
247	Bondarenko, 1969
247	Dergunov, 1972
247	Duchkov et al., 1980
247	Lukina, 1988
247	Lukina, 1991b
247	Lukina, data 1996
